data,produto,categoria,regiao,quantidade,preco_unitario
2026-01-01,Notebook,Informática,Sul,3,3500
2026-01-01,Smartphone,Eletrônicos,Nordeste,7,2200
2026-01-01,Monitor,Informática,Centro-Oeste,4,1200
2026-01-01,Headset,Acessórios,Sudeste,10,350
2026-02-01,Notebook,Informática,Nordeste,4,3500
2026-02-01,Smartphone,Eletrônicos,Centro-Oeste,4,2200
2026-02-01,Monitor,Informática,Sudeste,5,1200
2026-02-01,Headset,Acessórios,Sul,7,350
2026-03-01,Notebook,Informática,Centro-Oeste,5,3500
2026-03-01,Smartphone,Eletrônicos,Sudeste,5,2200
2026-03-01,Monitor,Informática,Sul,6,1200
2026-03-01,Headset,Acessórios,Nordeste,8,350
2026-04-01,Notebook,Informática,Sudeste,2,3500
2026-04-01,Smartphone,Eletrônicos,Sul,6,2200
2026-04-01,Monitor,Informática,Nordeste,3,1200
2026-04-01,Headset,Acessórios,Centro-Oeste,9,350
2026-05-01,Notebook,Informática,Sul,3,3500
2026-05-01,Smartphone,Eletrônicos,Nordeste,7,2200
2026-05-01,Monitor,Informática,Centro-Oeste,4,1200
2026-05-01,Headset,Acessórios,Sudeste,10,350
2026-06-01,Notebook,Informática,Nordeste,4,3500
2026-06-01,Smartphone,Eletrônicos,Centro-Oeste,4,2200
2026-06-01,Monitor,Informática,Sudeste,5,1200
2026-06-01,Headset,Acessórios,Sul,7,350
2026-07-01,Notebook,Informática,Centro-Oeste,5,3500
2026-07-01,Smartphone,Eletrônicos,Sudeste,5,2200
2026-07-01,Monitor,Informática,Sul,6,1200
2026-07-01,Headset,Acessórios,Nordeste,8,350
2026-08-01,Notebook,Informática,Sudeste,2,3500
2026-08-01,Smartphone,Eletrônicos,Sul,6,2200
2026-08-01,Monitor,Informática,Nordeste,3,1200
2026-08-01,Headset,Acessórios,Centro-Oeste,9,350
2026-09-01,Notebook,Informática,Sul,3,3500
2026-09-01,Smartphone,Eletrônicos,Nordeste,7,2200
2026-09-01,Monitor,Informática,Centro-Oeste,4,1200
2026-09-01,Headset,Acessórios,Sudeste,10,350
2026-10-01,Notebook,Informática,Nordeste,4,3500
2026-10-01,Smartphone,Eletrônicos,Centro-Oeste,4,2200
2026-10-01,Monitor,Informática,Sudeste,5,1200
2026-10-01,Headset,Acessórios,Sul,7,350
2026-11-01,Notebook,Informática,Centro-Oeste,8,3500
2026-11-01,Smartphone,Eletrônicos,Sudeste,8,2200
2026-11-01,Monitor,Informática,Sul,9,1200
2026-11-01,Headset,Acessórios,Nordeste,12,350
2026-12-01,Notebook,Informática,Sudeste,4,3500
2026-12-01,Smartphone,Eletrônicos,Sul,11,2200
2026-12-01,Monitor,Informática,Nordeste,5,1200
2026-12-01,Headset,Acessórios,Centro-Oeste,16,350
